id,name,price,availability
0,Телевизор Витязь 24LH1207,"399,00",В наличии
1,Телевизор Horizont 32LE5051D,"429,00",В наличии
2,Телевизор Horizont 43LE7052D,"799,00",В наличии
3,Телевизор Blaupunkt 32HB5000T,"599,00",В наличии
4,Телевизор Horizont 32LE7051D,"499,00","Под заказ, ≈ 26 дней"
5,Телевизор Horizont 24LE5011D,"369,00",В наличии
6,Телевизор Blaupunkt 32WB965,"429,00",В наличии
7,Телевизор Horizont 32LE7011D,"539,00",В наличии
8,Телевизор Витязь 24LH0207,"329,00",В наличии
9,Телевизор LG 32LM576BPLD,"999,00",В наличии
10,Телевизор Витязь 32LH1212,"499,00",В наличии
11,Телевизор Витязь 32LH0212,"439,00",В наличии
12,Телевизор LG 43LM6370PLA,"1 349,00",В наличии
13,Телевизор LG 43UQ75006LF,"1 499,00",В наличии
14,Телевизор LG 55NANO756PA,"2 629,00",В наличии
15,Телевизор Blaupunkt 24HB5000T,"499,00",В наличии
16,Телевизор Kivi 32H740LW,"799,00",В наличии
17,Телевизор Blaupunkt 32FB5000T,"759,00",В наличии
18,Телевизор Blaupunkt 40FB5000T,"899,00",В наличии
19,Телевизор LG 50UQ75006LF,"1 749,00",В наличии
20,Телевизор LG 32LQ630B6LA,"899,00",В наличии
21,Телевизор Витязь 43LF1212,"799,00",В наличии
22,Телевизор Blaupunkt 32WE265T,"729,00",В наличии
23,Телевизор Витязь 32LH0205,"579,00",В наличии
24,Телевизор LG 32LQ63006LA,"1 239,00",В наличии
25,Телевизор LG 43NANO756PA,"1 929,00",В наличии
26,Телевизор Витязь 24LH0205,"435,00",В наличии
27,Телевизор LG 65NANO766QA,"3 299,00",В наличии
28,Телевизор Samsung UE24N4500AU,"799,00",В наличии
29,Телевизор Витязь 32LH1206,"589,00",В наличии
30,Телевизор LG 43UP76506LD,"1 899,00",В наличии
31,Телевизор LG 50QNED816QA,"3 479,00",В наличии
32,Телевизор Kivi 32H740LB,"839,00",В наличии
33,Телевизор Kivi 32F790LW,"819,00",В наличии
34,Телевизор LG 55UQ75006LF,"2 239,00",В наличии
35,Телевизор Витязь 43LF1206,"929,00",В наличии
36,Телевизор Samsung UE32T5300AUXRU,"1 199,00",В наличии
37,Телевизор Kivi 32F710KB,"849,00",В наличии
38,Телевизор LG 50NANO766QA,"2 416,00",В наличии
39,Телевизор Kivi 32H510KD,"589,00",В наличии
40,Телевизор Samsung UE55AU7002UXRU,"2 399,00",В наличии
41,Телевизор Витязь 43LF0205,"929,00",В наличии
42,Телевизор Kivi 32F740LB,"799,00",В наличии
43,Телевизор Samsung UE55AU8000UXRU,"2 325,00",В наличии
44,Телевизор Samsung QE55Q80AAUXRU,"3 499,00",В наличии
45,Телевизор Philips 43PFS5505/60,"999,00",В наличии
46,Телевизор LG 43NANO766QA,"2 059,00",В наличии
47,Телевизор Xiaomi Mi TV P1 43 (L43M6-6ARG) / ELA4624GL,"1 199,00",В наличии
48,Телевизор Samsung UE40T5300AUXRU,"1 499,00",В наличии
49,Телевизор Kivi 50U740LB,"1 799,00",В наличии
50,Телевизор Blaupunkt 32HB5000,"659,00",В наличии
51,Телевизор Samsung UE50AU8000UXRU,"2 199,00",В наличии
52,Телевизор LG 55UQ76003LD,"2 352,00",В наличии
53,Телевизор POLAR Line 43PL52TC-SM,"995,00",В наличии
54,Телевизор Philips 55PUS7956/60,"2 199,00",В наличии
55,Телевизор Philips 50PUS7956/60,"1 799,00",В наличии
56,Телевизор Samsung UE32N4000AU,"999,00",В наличии
57,Телевизор Philips 43PFS6825/60,"1 349,00",В наличии
58,Телевизор Kivi 55U790LW,"1 799,00",В наличии
59,Телевизор LG 43UP80006LA,"2 179,00",В наличии
60,Телевизор LG OLED55C14LB,"4 989,00",В наличии
61,Телевизор POLAR Line 32PL13TC-SM,"666,00",В наличии
62,Телевизор Samsung UE32T4510AUXRU,"1 099,00",В наличии
63,Телевизор LG 24TL520V-PZ,"799,00",В наличии
64,Телевизор LG OLED55C24LA,"5 399,00",В наличии
65,Телевизор Витязь 42LF1207,"899,00",В наличии
66,Телевизор Kivi 24H500LB,"529,00",В наличии
67,Телевизор Philips 65PUS7406/60,"2 459,00",В наличии
68,Телевизор POLAR Line 42PL11TC-SM,"1 105,17",В наличии
69,Телевизор Samsung UE50AU7560UXRU,"2 499,00",В наличии
70,Телевизор Prestigio Top 40 / PTV40SS06Y (серый),"799,00",В наличии
71,Телевизор LG 50UQ76003LD,"2 117,00",В наличии
72,Телевизор Philips 32PHS5505/60,"669,00",В наличии
73,Телевизор JVC LT-55MU508,"1 987,00",В наличии
74,Телевизор Blaupunkt 65UN265,"2 199,00",В наличии
75,Телевизор Blaupunkt 65UB7000,"2 259,00",В наличии
76,Телевизор LG 28LN525V-PZ,"849,00",В наличии
77,Телевизор Harper 40F720T,"799,00",В наличии
78,Телевизор Samsung UE43AU8000UXRU,"2 249,00",В наличии
79,Телевизор Samsung UE32N4010AU,"999,00",В наличии
80,Телевизор POLAR P32L32T2CSM,"690,00",В наличии
81,Телевизор Витязь 55LU1204,"1 749,00",В наличии
82,Телевизор JVC LT-32MU208,"899,00",В наличии
83,Телевизор Harper 32R720TS,"699,00",В наличии
84,Телевизор Philips 43PUS7406/60,"1 770,00",В наличии
85,Телевизор LG 50UQ75001LG,"2 279,00",В наличии
86,Телевизор LG 50UP80006LA,"2 299,00",В наличии
87,Телевизор LG 43UQ75001LG,"1 799,00",В наличии
88,Телевизор Samsung QE50Q60ABUXRU,"2 799,00",В наличии
89,Телевизор Horizont 24LE7011D,"455,00",В наличии
90,Телевизор Philips 70PUS7956/60,"3 399,00",В наличии
91,Телевизор LG 24LP451V-PZ,"739,00",В наличии
92,Телевизор POLAR P32L21T2SCSM,"676,88",В наличии
